episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,action,penalty_ram_penalty,penalty_gpu_penalty,penalty_cpu_penalty,penalty_total_penalty
1848,18063,0.0,6077.803583860397,0.0,49.5,7.803073883056641,7.972721099853516,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1848,18064,0.0,6078.149941682816,0.0,49.5,7.802913665771484,7.972881317138672,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1848,18065,0.0,6078.477427482605,0.1,49.5,7.801219940185547,7.974575042724609,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1848,18066,0.0,6078.808694124222,0.0,49.4,7.8009490966796875,7.974845886230469,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1848,18067,0.0,6079.141005039215,0.0,49.4,7.800773620605469,7.9750213623046875,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1848,18068,5.0,6079.472266674042,1.4,49.5,7.801670074462891,7.974124908447266,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1848,18069,0.0,6079.802276849747,100.0,49.5,7.801258087158203,7.974536895751953,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1849,18070,0.0,6080.134944438934,0.0,49.5,7.8011627197265625,7.974632263183594,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1849,18071,-2.0,6080.464831352234,0.0,49.5,7.804512023925781,7.971282958984375,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1849,18072,0.0,6080.796854734421,0.8,49.5,7.804111480712891,7.971683502197266,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1849,18073,0.0,6081.128481626511,0.0,49.5,7.803947448730469,7.9718475341796875,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1849,18074,0.0,6081.457893848419,1.2,49.5,7.803947448730469,7.9718475341796875,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1849,18075,0.0,6081.78791308403,0.0,49.5,7.803504943847656,7.9722900390625,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1849,18076,0.0,6082.117724180222,0.0,49.5,7.802661895751953,7.973133087158203,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1849,18077,0.0,6082.459026098251,0.0,49.5,7.802677154541016,7.973117828369141,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1849,18078,5.0,6082.803593873978,0.0,49.5,7.803375244140625,7.972419738769531,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1850,18079,0.0,6083.165254116058,0.0,49.5,7.803585052490234,7.972209930419922,19,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1850,18080,0.0,6083.497185707092,0.0,49.5,7.8034820556640625,7.972312927246094,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1850,18081,-7.0,6083.825974225998,0.4,49.4,7.799407958984375,7.976387023925781,0,815.23828125,8192.0,9.951639175415039,5,0.0,0.0,0.0,0.0
1850,18082,2.0,6084.158702373505,0.0,49.5,7.8035888671875,7.972206115722656,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1850,18083,0.0,6084.504329204559,0.0,49.5,7.8035736083984375,7.972221374511719,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1850,18084,5.0,6084.833201646805,3.4,49.5,7.803169250488281,7.972625732421875,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
